score,description,date
"4,0","Para quem está em dúvida, essa câmera tem sim suporte a RTSP e Onvif, testado por mim via Linux, funcionando muito bem.O modo noturno dela é ótimo em nitidez mas o sensor de movimento perde muito a sensibilidade quando em modo noturno, deixando de detectar movimentos algumas vezes, principalmente os movimentos mais lentos como uma porta se abrindo mais devagar ele não detecta às vezes nem com a sensibilidade máxima configurada. Não há detecção por som, apenas por movimento (não que isso não possa ser implementado futuramente com updates). O software de controle é muito bem feito e amigável.",24 de julho de 2021
"1,0","Nem posso dizer se o produto é bom ou ruim, porque até hoje não consegui configurar o dispositivo. Baixei o aplicativo, contudo, em nenhum de meus aparelhos e/ou tablet, consigo chegar até o fim na configuração do mesmo. Enviei mensagem para o suporte pedindo ajuda, mas até hoje não me responderam.",3 de janeiro de 2021
"5,0","O produto é de ótima qualidade.A imagem é ótima, os comandos no aplicativo da TAPO são muito funcionais e funcionam de forma bem rápida.Vou começar a usar como babá eletrônica em conjunto com uma Echo Dot que vai ficar no quarto do bebê e uma Echo Show 8 que vai ficar no andar de baixo, na sala.Fiz uma rotina na Alexa, que ao escutar o choro do bebê, a Echo Show 8 aumenta o volume para o máximo, avisa sobre o choro do bebê e mostra na tela a imagem da câmera. Fiz os testes aqui e funciona perfeitamente! Unico detalhe, é que a Alexa tem um lag de uns 5 segundos até mostrar a imagem na tela, mas isso é algo dos periféricos da Amazon, pois no aplicativo TAPO a imagem aparece quase que instantaneo, mesmo no 4G.E a visão noturna é excelente!Espero que ou o sistema da Alexa atualizem interações entre si, para termos mais opções de automatização, mas o que ela entrega pelo preço atual, é muito satisfatório!",28 de novembro de 2021
"1,0","A qualidade da câmera é muito boa mas ela falha no quesito “smart” e “compatibilidade com Alexa.” Apesar de anunciada tal compatibilidade, a Alexa somente enxerga a câmera mas não há nenhum tipo de interação ou automação possível. Ao meu ver a propaganda do produto não condiz com a realidade!",25 de junho de 2021
"1,0","Péssima compra. Usei como baba eletronica e devolvi menos de 1 mes depois. A Imagem esta sempre atrasada, o aplicativo e pessimo, trava toda hora e varias vezes nao avisa quando tem movimento no quarto. To esperando meu dinheiro de volta.",17 de março de 2021
"4,0","A câmera é de fácil configuração e manuseio, porém após configurado por um usuário, o segundo usuário consegue acessar as funcionalidades se for convidado, porém sem acesso à várias opções como usar o microfone, movimentar a câmera, entre outros. Creio que poderia ser mais simples, pois ao não dar permissão a coisas simples poderia já ter uma opção para solicitar a mesma e por conta disso não dou 5 estrelas. A qualidade da imagem impressiona, a visão noturna da pra ver bastante coisa de forma nítida, porém peca no item comentado anteriormente.",28 de dezembro de 2021
"5,0","Adquiri 3 câmeras e realmente valeu muito a pena o investimento, comprei com base nas avaliações aqui e nos reviews que vi na internet, a qualidade da imagem é excelente e o app (Tapo) bem prático de configurar as câmeras e conectar a Alexa (consegui assistir as imagens das câmeras na minha Echo Show 8 por comando de voz).Algo que achei legal é o cabo da fonte de alimentação ser grande, deve ter uns 2 metros, super prático isso.O infravermelho funciona muito bem com ótima qualidade a visão noturna.Destaco que a câmera só conecta em rede wi-fi de 2.4Ghz, não conecta em Wi-fi 5Ghz.Uma das câmeras veio com defeito de fábrica, a devolução e estorno do valor foi bem prático e achei até rápida.A entrega Prime da Amazon foi super rápida.Enfim, super recomendo.",19 de agosto de 2021
"5,0","Comprei sem grandes pretensões, pois já tenho duas ""chinesas"", mas fiquei maravilhado com o alcance e a nitidez. E o melhor de tudo: funciona com o WiFi. Em menos de 5 minutos você baixa o aplicativo, instala-o, conecta a câmera e já sai andando com o celular pela casa tendo plena visão da porta da entrada. Minha pretensão era apenas colocar na janela da sala (por dentro) para ter visão de quem está na porta de entrada. Cumpriu o prometido. Ah, tem um botão que você aperta e a câmera gira toda a visão de 360 graus, lhe dando uma visão panorâmica do ambiente e, logo em seguida, volta ao ponto em que estava. Para desligar a visão noturna, basta tirar do automático e deixar no modo diurno. Pretendo comprar outra, pois o programa suporta até 32 câmeras. Quero testar isso também. Valeu!!!",15 de outubro de 2021
"1,0","A Câmera funcionava muito bem, mas depois que teve uma atualização que ficou disponível versão de salvar ma nuvem, a câmera passou a ser muito difícil de acessar pelo celular.Conprei três dessa e uma da C200, a C200 funciona perfeito, sempre está disponível para visualizar as imagens onde eu estiver, mas as 3 C310 é a maior dificuldade, tenho que estar sempre atualizando e na maioria das vezes não fica disponível para ver as imagens pelo celular.Obs: a C200 e as C310 estão utilizando a mesma Internet.",12 de outubro de 2021
"5,0","Excelente produto. Som, imagem, movimentação 360°, movimentação lateral e vertical de excelente ângulo. Recomendo para escritórios, residências... Não conheço a mesma em situação de grandes distâncias, acredito que não terá uma boa capitação de som.",11 de setembro de 2021
"4,0","A câmera é muito boa e o app da TP-LINK muito fácil de mexer. Ela tem doia recursos muito bem vindos. O de usar serviço de nuvem de terceiros, já que a TP-LINK não disponibiliza, e o de gravar posições, o que facilita e torna o giro da lente mais rápido na hora de buscar por locais de visualização. O que considerei uma falha grave foi a função compartilhar. Somente o titular consegue girar a câmera. Agora imagina, essa câmera na casa de um casal, o titular está fora e quem ficou, percebe uma movimentação estranha, porém não consegue acompanhar pq o app só permite que essa segunda pessoa apenas olhe, sem poder movimentar. Uma grande falha, não? Até entendo se o app bloqueasse mexer nas configurações, liberando apenas ao titular essa possibilidade, mas girar é a câmera é o mínimo. A im4 da Intelbras tem essa possibilidade (aprende,TP-LINK!). Não consegui visualizar com Alexa pq não tem a Echo show, apenas a Dot e Fire Stick TV lite e não encontrei um uso compatível com esses. Imaginei que conseguiria ver imagens da câmera na tevê com o uso da Dot e do Fire, porém os três equipamentos não se integraram (conversei com quatro atendentes da Amazon que não conseguiram me ajudar nessa integração. Alguns nem conheciam o Fire stick, precisando pedir orientação para um setor técnico e informando que não haveria essa possibilidade).No geral a câmera é muito boa, mas precisavam corrigir essas falhas (pelo menos a função compartilhar, o que se resolve usando a mesma conta nos aparelhos).",27 de dezembro de 2020
"5,0","A câmera é muito boa, podem comprar sem medo. Eu não conhecia a marca e tive receio. Mas vi várias avaliações boas sobre ela e resolvi comprar. Amei! A imagem é perfeita, visão noturna excelente. Não deixa nada a desejar para a intelbras, pois também tenho uma dela. Recomendo",6 de setembro de 2021
